date,day_of_week,day_type,holiday
3/18/05,Friday,Non-Holiday Weekday,
3/19/05,Saturday,Non-Holiday Weekend,
3/20/05,Sunday,Non-Holiday Weekend,
3/21/05,Monday,Non-Holiday Weekday,
3/22/05,Tuesday,Non-Holiday Weekday,
3/23/05,Wednesday,Non-Holiday Weekday,
3/24/05,Thursday,Non-Holiday Weekday,
3/25/05,Friday,Non-Holiday Weekday,
3/26/05,Saturday,Non-Holiday Weekend,
3/27/05,Sunday,Non-Holiday Weekend,
3/28/05,Monday,Non-Holiday Weekday,
3/29/05,Tuesday,Non-Holiday Weekday,
3/30/05,Wednesday,Non-Holiday Weekday,
3/31/05,Thursday,Non-Holiday Weekday,
4/1/05,Friday,Non-Holiday Weekday,
4/2/05,Saturday,Non-Holiday Weekend,
4/3/05,Sunday,Non-Holiday Weekend,
4/4/05,Monday,Non-Holiday Weekday,
4/5/05,Tuesday,Non-Holiday Weekday,
4/6/05,Wednesday,Non-Holiday Weekday,
4/7/05,Thursday,Non-Holiday Weekday,
4/8/05,Friday,Non-Holiday Weekday,
4/9/05,Saturday,Non-Holiday Weekend,
4/10/05,Sunday,Non-Holiday Weekend,
4/11/05,Monday,Non-Holiday Weekday,
4/12/05,Tuesday,Non-Holiday Weekday,
4/13/05,Wednesday,Non-Holiday Weekday,
4/14/05,Thursday,Non-Holiday Weekday,
4/15/05,Friday,Non-Holiday Weekday,
4/16/05,Saturday,Non-Holiday Weekend,
4/17/05,Sunday,Non-Holiday Weekend,
4/18/05,Monday,Non-Holiday Weekday,
4/19/05,Tuesday,Non-Holiday Weekday,
4/20/05,Wednesday,Party Holiday,420
4/21/05,Thursday,Non-Holiday Weekday,
4/22/05,Friday,Non-Holiday Weekday,
4/23/05,Saturday,Non-Holiday Weekend,
4/24/05,Sunday,Non-Holiday Weekend,
4/25/05,Monday,Non-Holiday Weekday,
4/26/05,Tuesday,Non-Holiday Weekday,
4/27/05,Wednesday,Non-Holiday Weekday,
4/28/05,Thursday,Non-Holiday Weekday,
4/29/05,Friday,Non-Holiday Weekday,
4/30/05,Saturday,Non-Holiday Weekend,
5/1/05,Sunday,Non-Holiday Weekend,
5/2/05,Monday,Non-Holiday Weekday,
5/3/05,Tuesday,Non-Holiday Weekday,
5/4/05,Wednesday,Non-Holiday Weekday,
5/5/05,Thursday,Party Holiday,Cinco de Mayo
5/6/05,Friday,Non-Holiday Weekday,
5/7/05,Saturday,Non-Holiday Weekend,
5/8/05,Sunday,Non-Holiday Weekend,
5/9/05,Monday,Non-Holiday Weekday,
5/10/05,Tuesday,Non-Holiday Weekday,
5/11/05,Wednesday,Non-Holiday Weekday,
5/12/05,Thursday,Non-Holiday Weekday,
5/13/05,Friday,Non-Holiday Weekday,
5/14/05,Saturday,Non-Holiday Weekend,
5/15/05,Sunday,Non-Holiday Weekend,
5/16/05,Monday,Non-Holiday Weekday,
5/17/05,Tuesday,Non-Holiday Weekday,
5/18/05,Wednesday,Non-Holiday Weekday,
5/19/05,Thursday,Non-Holiday Weekday,
5/20/05,Friday,Non-Holiday Weekday,
5/21/05,Saturday,Non-Holiday Weekend,
5/22/05,Sunday,Non-Holiday Weekend,
5/23/05,Monday,Non-Holiday Weekday,
5/24/05,Tuesday,Non-Holiday Weekday,
5/25/05,Wednesday,Non-Holiday Weekday,
5/26/05,Thursday,Non-Holiday Weekday,
5/27/05,Friday,Non-Holiday Weekday,
5/28/05,Saturday,Non-Holiday Weekend,
5/29/05,Sunday,Non-Holiday Weekend,
5/30/05,Monday,National Holiday,Memorial Day
5/31/05,Tuesday,Non-Holiday Weekday,
6/1/05,Wednesday,Non-Holiday Weekday,
6/2/05,Thursday,Non-Holiday Weekday,
6/3/05,Friday,Non-Holiday Weekday,
6/4/05,Saturday,Non-Holiday Weekend,
6/5/05,Sunday,Non-Holiday Weekend,
6/6/05,Monday,Non-Holiday Weekday,
6/7/05,Tuesday,Non-Holiday Weekday,
6/8/05,Wednesday,Non-Holiday Weekday,
6/9/05,Thursday,Non-Holiday Weekday,
6/10/05,Friday,Non-Holiday Weekday,
6/11/05,Saturday,Non-Holiday Weekend,
6/12/05,Sunday,Non-Holiday Weekend,
6/13/05,Monday,Non-Holiday Weekday,
6/14/05,Tuesday,Non-Holiday Weekday,
6/15/05,Wednesday,Non-Holiday Weekday,
6/16/05,Thursday,Non-Holiday Weekday,
6/17/05,Friday,Non-Holiday Weekday,
6/18/05,Saturday,Non-Holiday Weekend,
6/19/05,Sunday,Non-Holiday Weekend,
6/20/05,Monday,Non-Holiday Weekday,
6/21/05,Tuesday,Non-Holiday Weekday,
6/22/05,Wednesday,Non-Holiday Weekday,
6/23/05,Thursday,Non-Holiday Weekday,
6/24/05,Friday,Non-Holiday Weekday,
6/25/05,Saturday,Non-Holiday Weekend,
6/26/05,Sunday,Non-Holiday Weekend,
6/27/05,Monday,Non-Holiday Weekday,
6/28/05,Tuesday,Non-Holiday Weekday,
6/29/05,Wednesday,Non-Holiday Weekday,
6/30/05,Thursday,Non-Holiday Weekday,
7/1/05,Friday,Non-Holiday Weekday,
7/2/05,Saturday,Non-Holiday Weekend,
7/3/05,Sunday,Non-Holiday Weekend,
7/4/05,Monday,National Holiday,Independence Day
7/5/05,Tuesday,Non-Holiday Weekday,
7/6/05,Wednesday,Non-Holiday Weekday,
7/7/05,Thursday,Non-Holiday Weekday,
7/8/05,Friday,Non-Holiday Weekday,
7/9/05,Saturday,Non-Holiday Weekend,
7/10/05,Sunday,Non-Holiday Weekend,
7/11/05,Monday,Non-Holiday Weekday,
7/12/05,Tuesday,Non-Holiday Weekday,
7/13/05,Wednesday,Non-Holiday Weekday,
7/14/05,Thursday,Non-Holiday Weekday,
7/15/05,Friday,Non-Holiday Weekday,
7/16/05,Saturday,Non-Holiday Weekend,
7/17/05,Sunday,Non-Holiday Weekend,
7/18/05,Monday,Non-Holiday Weekday,
7/19/05,Tuesday,Non-Holiday Weekday,
7/20/05,Wednesday,Non-Holiday Weekday,
7/21/05,Thursday,Non-Holiday Weekday,
7/22/05,Friday,Non-Holiday Weekday,
7/23/05,Saturday,Non-Holiday Weekend,
7/24/05,Sunday,Non-Holiday Weekend,
7/25/05,Monday,Non-Holiday Weekday,
7/26/05,Tuesday,Non-Holiday Weekday,
7/27/05,Wednesday,Non-Holiday Weekday,
7/28/05,Thursday,Non-Holiday Weekday,
7/29/05,Friday,Non-Holiday Weekday,
7/30/05,Saturday,Non-Holiday Weekend,
7/31/05,Sunday,Non-Holiday Weekend,
8/1/05,Monday,Non-Holiday Weekday,
8/2/05,Tuesday,Non-Holiday Weekday,
8/3/05,Wednesday,Non-Holiday Weekday,
8/4/05,Thursday,Non-Holiday Weekday,
8/5/05,Friday,Non-Holiday Weekday,
8/6/05,Saturday,Non-Holiday Weekend,
8/7/05,Sunday,Non-Holiday Weekend,
8/8/05,Monday,Non-Holiday Weekday,
8/9/05,Tuesday,Non-Holiday Weekday,
8/10/05,Wednesday,Non-Holiday Weekday,
8/11/05,Thursday,Non-Holiday Weekday,
8/12/05,Friday,Non-Holiday Weekday,
8/13/05,Saturday,Non-Holiday Weekend,
8/14/05,Sunday,Non-Holiday Weekend,
8/15/05,Monday,Non-Holiday Weekday,
8/16/05,Tuesday,Non-Holiday Weekday,
8/17/05,Wednesday,Non-Holiday Weekday,
8/18/05,Thursday,Non-Holiday Weekday,
8/19/05,Friday,Non-Holiday Weekday,
8/20/05,Saturday,Non-Holiday Weekend,
8/21/05,Sunday,Non-Holiday Weekend,
8/22/05,Monday,Non-Holiday Weekday,
8/23/05,Tuesday,Non-Holiday Weekday,
8/24/05,Wednesday,Non-Holiday Weekday,
8/25/05,Thursday,Non-Holiday Weekday,
8/26/05,Friday,Non-Holiday Weekday,
8/27/05,Saturday,Non-Holiday Weekend,
8/28/05,Sunday,Non-Holiday Weekend,
8/29/05,Monday,Non-Holiday Weekday,
8/30/05,Tuesday,Non-Holiday Weekday,
8/31/05,Wednesday,Non-Holiday Weekday,
9/1/05,Thursday,Non-Holiday Weekday,
9/2/05,Friday,Non-Holiday Weekday,
9/3/05,Saturday,Non-Holiday Weekend,
9/4/05,Sunday,Non-Holiday Weekend,
9/5/05,Monday,National Holiday,Labor Day
9/6/05,Tuesday,Non-Holiday Weekday,
9/7/05,Wednesday,Non-Holiday Weekday,
9/8/05,Thursday,Non-Holiday Weekday,
9/9/05,Friday,Non-Holiday Weekday,
9/10/05,Saturday,Non-Holiday Weekend,
9/11/05,Sunday,Non-Holiday Weekend,
9/12/05,Monday,Non-Holiday Weekday,
9/13/05,Tuesday,Non-Holiday Weekday,
9/14/05,Wednesday,Non-Holiday Weekday,
9/15/05,Thursday,Non-Holiday Weekday,
9/16/05,Friday,Non-Holiday Weekday,
9/17/05,Saturday,Non-Holiday Weekend,
9/18/05,Sunday,Non-Holiday Weekend,
9/19/05,Monday,Non-Holiday Weekday,
9/20/05,Tuesday,Non-Holiday Weekday,
9/21/05,Wednesday,Non-Holiday Weekday,
9/22/05,Thursday,Non-Holiday Weekday,
9/23/05,Friday,Non-Holiday Weekday,
9/24/05,Saturday,Non-Holiday Weekend,
9/25/05,Sunday,Non-Holiday Weekend,
9/26/05,Monday,Non-Holiday Weekday,
9/27/05,Tuesday,Non-Holiday Weekday,
9/28/05,Wednesday,Non-Holiday Weekday,
9/29/05,Thursday,Non-Holiday Weekday,
9/30/05,Friday,Non-Holiday Weekday,
10/1/05,Saturday,Non-Holiday Weekend,
10/2/05,Sunday,Non-Holiday Weekend,
10/3/05,Monday,Non-Holiday Weekday,
10/4/05,Tuesday,Non-Holiday Weekday,
10/5/05,Wednesday,Non-Holiday Weekday,
10/6/05,Thursday,Non-Holiday Weekday,
10/7/05,Friday,Non-Holiday Weekday,
10/8/05,Saturday,Non-Holiday Weekend,
10/9/05,Sunday,Non-Holiday Weekend,
10/10/05,Monday,National Holiday,Columbus Day
10/11/05,Tuesday,Non-Holiday Weekday,
10/12/05,Wednesday,Non-Holiday Weekday,
10/13/05,Thursday,Non-Holiday Weekday,
10/14/05,Friday,Non-Holiday Weekday,
10/15/05,Saturday,Non-Holiday Weekend,
10/16/05,Sunday,Non-Holiday Weekend,
10/17/05,Monday,Non-Holiday Weekday,
10/18/05,Tuesday,Non-Holiday Weekday,
10/19/05,Wednesday,Non-Holiday Weekday,
10/20/05,Thursday,Non-Holiday Weekday,
10/21/05,Friday,Non-Holiday Weekday,
10/22/05,Saturday,Non-Holiday Weekend,
10/23/05,Sunday,Non-Holiday Weekend,
10/24/05,Monday,Non-Holiday Weekday,
10/25/05,Tuesday,Non-Holiday Weekday,
10/26/05,Wednesday,Non-Holiday Weekday,
10/27/05,Thursday,Non-Holiday Weekday,
10/28/05,Friday,Non-Holiday Weekday,
10/29/05,Saturday,Non-Holiday Weekend,
10/30/05,Sunday,Non-Holiday Weekend,
10/31/05,Monday,Party Holiday,Halloween
11/1/05,Tuesday,Non-Holiday Weekday,
11/2/05,Wednesday,Non-Holiday Weekday,
11/3/05,Thursday,Non-Holiday Weekday,
11/4/05,Friday,Non-Holiday Weekday,
11/5/05,Saturday,Non-Holiday Weekend,
11/6/05,Sunday,Non-Holiday Weekend,
11/7/05,Monday,Non-Holiday Weekday,
11/8/05,Tuesday,Non-Holiday Weekday,
11/9/05,Wednesday,Non-Holiday Weekday,
11/10/05,Thursday,Non-Holiday Weekday,
11/11/05,Friday,National Holiday,Veterans Day
11/12/05,Saturday,Non-Holiday Weekend,
11/13/05,Sunday,Non-Holiday Weekend,
11/14/05,Monday,Non-Holiday Weekday,
11/15/05,Tuesday,Non-Holiday Weekday,
11/16/05,Wednesday,Non-Holiday Weekday,
11/17/05,Thursday,Non-Holiday Weekday,
11/18/05,Friday,Non-Holiday Weekday,
11/19/05,Saturday,Non-Holiday Weekend,
11/20/05,Sunday,Non-Holiday Weekend,
11/21/05,Monday,Non-Holiday Weekday,
11/22/05,Tuesday,Non-Holiday Weekday,
11/23/05,Wednesday,Party Holiday,Thanksgiving Eve
11/24/05,Thursday,National Holiday,Thanksgiving Day
11/25/05,Friday,Non-Holiday Weekday,
11/26/05,Saturday,Non-Holiday Weekend,
11/27/05,Sunday,Non-Holiday Weekend,
11/28/05,Monday,Non-Holiday Weekday,
11/29/05,Tuesday,Non-Holiday Weekday,
11/30/05,Wednesday,Non-Holiday Weekday,
12/1/05,Thursday,Non-Holiday Weekday,
12/2/05,Friday,Non-Holiday Weekday,
12/3/05,Saturday,Non-Holiday Weekend,
12/4/05,Sunday,Non-Holiday Weekend,
12/5/05,Monday,Non-Holiday Weekday,
12/6/05,Tuesday,Non-Holiday Weekday,
12/7/05,Wednesday,Non-Holiday Weekday,
12/8/05,Thursday,Non-Holiday Weekday,
12/9/05,Friday,Non-Holiday Weekday,
12/10/05,Saturday,Non-Holiday Weekend,
12/11/05,Sunday,Non-Holiday Weekend,
12/12/05,Monday,Non-Holiday Weekday,
12/13/05,Tuesday,Non-Holiday Weekday,
12/14/05,Wednesday,Non-Holiday Weekday,
12/15/05,Thursday,Non-Holiday Weekday,
12/16/05,Friday,Non-Holiday Weekday,
12/17/05,Saturday,Non-Holiday Weekend,
12/18/05,Sunday,Non-Holiday Weekend,
12/19/05,Monday,Non-Holiday Weekday,
12/20/05,Tuesday,Non-Holiday Weekday,
12/21/05,Wednesday,Non-Holiday Weekday,
12/22/05,Thursday,Non-Holiday Weekday,
12/23/05,Friday,Non-Holiday Weekday,
12/24/05,Saturday,Non-Holiday Weekend,
12/25/05,Sunday,National Holiday,Christmas Day
12/26/05,Monday,National Holiday (Observed),
12/27/05,Tuesday,Non-Holiday Weekday,
12/28/05,Wednesday,Non-Holiday Weekday,
12/29/05,Thursday,Non-Holiday Weekday,
12/30/05,Friday,Non-Holiday Weekday,
12/31/05,Saturday,Party Holiday,New Year's Eve
1/1/06,Sunday,National Holiday,New Year's Day
1/2/06,Monday,National Holiday (Observed),
1/3/06,Tuesday,Non-Holiday Weekday,
1/4/06,Wednesday,Non-Holiday Weekday,
1/5/06,Thursday,Non-Holiday Weekday,
1/6/06,Friday,Non-Holiday Weekday,
1/7/06,Saturday,Non-Holiday Weekend,
1/8/06,Sunday,Non-Holiday Weekend,
1/9/06,Monday,Non-Holiday Weekday,
1/10/06,Tuesday,Non-Holiday Weekday,
1/11/06,Wednesday,Non-Holiday Weekday,
1/12/06,Thursday,Non-Holiday Weekday,
1/13/06,Friday,Non-Holiday Weekday,
1/14/06,Saturday,Non-Holiday Weekend,
1/15/06,Sunday,Non-Holiday Weekend,
1/16/06,Monday,National Holiday,MLK Day
1/17/06,Tuesday,Non-Holiday Weekday,
1/18/06,Wednesday,Non-Holiday Weekday,
1/19/06,Thursday,Non-Holiday Weekday,
1/20/06,Friday,Non-Holiday Weekday,
1/21/06,Saturday,Non-Holiday Weekend,
1/22/06,Sunday,Non-Holiday Weekend,
1/23/06,Monday,Non-Holiday Weekday,
1/24/06,Tuesday,Non-Holiday Weekday,
1/25/06,Wednesday,Non-Holiday Weekday,
1/26/06,Thursday,Non-Holiday Weekday,
1/27/06,Friday,Non-Holiday Weekday,
1/28/06,Saturday,Non-Holiday Weekend,
1/29/06,Sunday,Non-Holiday Weekend,
1/30/06,Monday,Non-Holiday Weekday,
1/31/06,Tuesday,Non-Holiday Weekday,
2/1/06,Wednesday,Non-Holiday Weekday,
2/2/06,Thursday,Non-Holiday Weekday,
2/3/06,Friday,Non-Holiday Weekday,
2/4/06,Saturday,Non-Holiday Weekend,
2/5/06,Sunday,Party Holiday,Super Bowl Sunday
2/6/06,Monday,Non-Holiday Weekday,
2/7/06,Tuesday,Non-Holiday Weekday,
2/8/06,Wednesday,Non-Holiday Weekday,
2/9/06,Thursday,Non-Holiday Weekday,
2/10/06,Friday,Non-Holiday Weekday,
2/11/06,Saturday,Non-Holiday Weekend,
2/12/06,Sunday,Non-Holiday Weekend,
2/13/06,Monday,Non-Holiday Weekday,
2/14/06,Tuesday,Non-Holiday Weekday,
2/15/06,Wednesday,Non-Holiday Weekday,
2/16/06,Thursday,Non-Holiday Weekday,
2/17/06,Friday,Non-Holiday Weekday,
2/18/06,Saturday,Non-Holiday Weekend,
2/19/06,Sunday,Non-Holiday Weekend,
2/20/06,Monday,National Holiday,President's Day
2/21/06,Tuesday,Non-Holiday Weekday,
2/22/06,Wednesday,Non-Holiday Weekday,
2/23/06,Thursday,Non-Holiday Weekday,
2/24/06,Friday,Non-Holiday Weekday,
2/25/06,Saturday,Non-Holiday Weekend,
2/26/06,Sunday,Non-Holiday Weekend,
2/27/06,Monday,Non-Holiday Weekday,
2/28/06,Tuesday,Party Holiday,Mardi Gras
3/1/06,Wednesday,Non-Holiday Weekday,
3/2/06,Thursday,Non-Holiday Weekday,
3/3/06,Friday,Non-Holiday Weekday,
3/4/06,Saturday,Non-Holiday Weekend,
3/5/06,Sunday,Non-Holiday Weekend,
3/6/06,Monday,Non-Holiday Weekday,
3/7/06,Tuesday,Non-Holiday Weekday,
3/8/06,Wednesday,Non-Holiday Weekday,
3/9/06,Thursday,Non-Holiday Weekday,
3/10/06,Friday,Non-Holiday Weekday,
3/11/06,Saturday,Non-Holiday Weekend,
3/12/06,Sunday,Non-Holiday Weekend,
3/13/06,Monday,Non-Holiday Weekday,
3/14/06,Tuesday,Non-Holiday Weekday,
3/15/06,Wednesday,Non-Holiday Weekday,
3/16/06,Thursday,Non-Holiday Weekday,
3/17/06,Friday,Party Holiday,St. Patty's Day
3/18/06,Saturday,Non-Holiday Weekend,
3/19/06,Sunday,Non-Holiday Weekend,
3/20/06,Monday,Non-Holiday Weekday,
3/21/06,Tuesday,Non-Holiday Weekday,
3/22/06,Wednesday,Non-Holiday Weekday,
3/23/06,Thursday,Non-Holiday Weekday,
3/24/06,Friday,Non-Holiday Weekday,
3/25/06,Saturday,Non-Holiday Weekend,
3/26/06,Sunday,Non-Holiday Weekend,
3/27/06,Monday,Non-Holiday Weekday,
3/28/06,Tuesday,Non-Holiday Weekday,
3/29/06,Wednesday,Non-Holiday Weekday,
3/30/06,Thursday,Non-Holiday Weekday,
3/31/06,Friday,Non-Holiday Weekday,
4/1/06,Saturday,Non-Holiday Weekend,
4/2/06,Sunday,Non-Holiday Weekend,
4/3/06,Monday,Non-Holiday Weekday,
4/4/06,Tuesday,Non-Holiday Weekday,
4/5/06,Wednesday,Non-Holiday Weekday,
4/6/06,Thursday,Non-Holiday Weekday,
4/7/06,Friday,Non-Holiday Weekday,
4/8/06,Saturday,Non-Holiday Weekend,
4/9/06,Sunday,Non-Holiday Weekend,
4/10/06,Monday,Non-Holiday Weekday,
4/11/06,Tuesday,Non-Holiday Weekday,
4/12/06,Wednesday,Non-Holiday Weekday,
4/13/06,Thursday,Non-Holiday Weekday,
4/14/06,Friday,Non-Holiday Weekday,
4/15/06,Saturday,Non-Holiday Weekend,
4/16/06,Sunday,Non-Holiday Weekend,
4/17/06,Monday,Non-Holiday Weekday,
4/18/06,Tuesday,Non-Holiday Weekday,
4/19/06,Wednesday,Non-Holiday Weekday,
4/20/06,Thursday,Party Holiday,420
4/21/06,Friday,Non-Holiday Weekday,
4/22/06,Saturday,Non-Holiday Weekend,
4/23/06,Sunday,Non-Holiday Weekend,
4/24/06,Monday,Non-Holiday Weekday,
4/25/06,Tuesday,Non-Holiday Weekday,
4/26/06,Wednesday,Non-Holiday Weekday,
4/27/06,Thursday,Non-Holiday Weekday,
4/28/06,Friday,Non-Holiday Weekday,
4/29/06,Saturday,Non-Holiday Weekend,
4/30/06,Sunday,Non-Holiday Weekend,
5/1/06,Monday,Non-Holiday Weekday,
5/2/06,Tuesday,Non-Holiday Weekday,
5/3/06,Wednesday,Non-Holiday Weekday,
5/4/06,Thursday,Non-Holiday Weekday,
5/5/06,Friday,Party Holiday,Cinco de Mayo
5/6/06,Saturday,Non-Holiday Weekend,
5/7/06,Sunday,Non-Holiday Weekend,
5/8/06,Monday,Non-Holiday Weekday,
5/9/06,Tuesday,Non-Holiday Weekday,
5/10/06,Wednesday,Non-Holiday Weekday,
5/11/06,Thursday,Non-Holiday Weekday,
5/12/06,Friday,Non-Holiday Weekday,
5/13/06,Saturday,Non-Holiday Weekend,
5/14/06,Sunday,Non-Holiday Weekend,
5/15/06,Monday,Non-Holiday Weekday,
5/16/06,Tuesday,Non-Holiday Weekday,
5/17/06,Wednesday,Non-Holiday Weekday,
5/18/06,Thursday,Non-Holiday Weekday,
5/19/06,Friday,Non-Holiday Weekday,
5/20/06,Saturday,Non-Holiday Weekend,
5/21/06,Sunday,Non-Holiday Weekend,
5/22/06,Monday,Non-Holiday Weekday,
5/23/06,Tuesday,Non-Holiday Weekday,
5/24/06,Wednesday,Non-Holiday Weekday,
5/25/06,Thursday,Non-Holiday Weekday,
5/26/06,Friday,Non-Holiday Weekday,
5/27/06,Saturday,Non-Holiday Weekend,
5/28/06,Sunday,Non-Holiday Weekend,
5/29/06,Monday,National Holiday,Memorial Day
5/30/06,Tuesday,Non-Holiday Weekday,
5/31/06,Wednesday,Non-Holiday Weekday,
6/1/06,Thursday,Non-Holiday Weekday,
6/2/06,Friday,Non-Holiday Weekday,
6/3/06,Saturday,Non-Holiday Weekend,
6/4/06,Sunday,Non-Holiday Weekend,
6/5/06,Monday,Non-Holiday Weekday,
6/6/06,Tuesday,Non-Holiday Weekday,
6/7/06,Wednesday,Non-Holiday Weekday,
6/8/06,Thursday,Non-Holiday Weekday,
6/9/06,Friday,Non-Holiday Weekday,
6/10/06,Saturday,Non-Holiday Weekend,
6/11/06,Sunday,Non-Holiday Weekend,
6/12/06,Monday,Non-Holiday Weekday,
6/13/06,Tuesday,Non-Holiday Weekday,
6/14/06,Wednesday,Non-Holiday Weekday,
6/15/06,Thursday,Non-Holiday Weekday,
6/16/06,Friday,Non-Holiday Weekday,
6/17/06,Saturday,Non-Holiday Weekend,
6/18/06,Sunday,Non-Holiday Weekend,
6/19/06,Monday,Non-Holiday Weekday,
6/20/06,Tuesday,Non-Holiday Weekday,
6/21/06,Wednesday,Non-Holiday Weekday,
6/22/06,Thursday,Non-Holiday Weekday,
6/23/06,Friday,Non-Holiday Weekday,
6/24/06,Saturday,Non-Holiday Weekend,
6/25/06,Sunday,Non-Holiday Weekend,
6/26/06,Monday,Non-Holiday Weekday,
6/27/06,Tuesday,Non-Holiday Weekday,
6/28/06,Wednesday,Non-Holiday Weekday,
6/29/06,Thursday,Non-Holiday Weekday,
6/30/06,Friday,Non-Holiday Weekday,
7/1/06,Saturday,Non-Holiday Weekend,
7/2/06,Sunday,Non-Holiday Weekend,
7/3/06,Monday,Non-Holiday Weekday,
7/4/06,Tuesday,National Holiday,Independence Day
7/5/06,Wednesday,Non-Holiday Weekday,
7/6/06,Thursday,Non-Holiday Weekday,
7/7/06,Friday,Non-Holiday Weekday,
7/8/06,Saturday,Non-Holiday Weekend,
7/9/06,Sunday,Non-Holiday Weekend,
7/10/06,Monday,Non-Holiday Weekday,
7/11/06,Tuesday,Non-Holiday Weekday,
7/12/06,Wednesday,Non-Holiday Weekday,
7/13/06,Thursday,Non-Holiday Weekday,
7/14/06,Friday,Non-Holiday Weekday,
7/15/06,Saturday,Non-Holiday Weekend,
7/16/06,Sunday,Non-Holiday Weekend,
7/17/06,Monday,Non-Holiday Weekday,
7/18/06,Tuesday,Non-Holiday Weekday,
7/19/06,Wednesday,Non-Holiday Weekday,
7/20/06,Thursday,Non-Holiday Weekday,
7/21/06,Friday,Non-Holiday Weekday,
7/22/06,Saturday,Non-Holiday Weekend,
7/23/06,Sunday,Non-Holiday Weekend,
7/24/06,Monday,Non-Holiday Weekday,
7/25/06,Tuesday,Non-Holiday Weekday,
7/26/06,Wednesday,Non-Holiday Weekday,
7/27/06,Thursday,Non-Holiday Weekday,
7/28/06,Friday,Non-Holiday Weekday,
7/29/06,Saturday,Non-Holiday Weekend,
7/30/06,Sunday,Non-Holiday Weekend,
7/31/06,Monday,Non-Holiday Weekday,
8/1/06,Tuesday,Non-Holiday Weekday,
8/2/06,Wednesday,Non-Holiday Weekday,
8/3/06,Thursday,Non-Holiday Weekday,
8/4/06,Friday,Non-Holiday Weekday,
8/5/06,Saturday,Non-Holiday Weekend,
8/6/06,Sunday,Non-Holiday Weekend,
8/7/06,Monday,Non-Holiday Weekday,
8/8/06,Tuesday,Non-Holiday Weekday,
8/9/06,Wednesday,Non-Holiday Weekday,
8/10/06,Thursday,Non-Holiday Weekday,
8/11/06,Friday,Non-Holiday Weekday,
8/12/06,Saturday,Non-Holiday Weekend,
8/13/06,Sunday,Non-Holiday Weekend,
8/14/06,Monday,Non-Holiday Weekday,
8/15/06,Tuesday,Non-Holiday Weekday,
8/16/06,Wednesday,Non-Holiday Weekday,
8/17/06,Thursday,Non-Holiday Weekday,
8/18/06,Friday,Non-Holiday Weekday,
8/19/06,Saturday,Non-Holiday Weekend,
8/20/06,Sunday,Non-Holiday Weekend,
8/21/06,Monday,Non-Holiday Weekday,
8/22/06,Tuesday,Non-Holiday Weekday,
8/23/06,Wednesday,Non-Holiday Weekday,
8/24/06,Thursday,Non-Holiday Weekday,
8/25/06,Friday,Non-Holiday Weekday,
8/26/06,Saturday,Non-Holiday Weekend,
8/27/06,Sunday,Non-Holiday Weekend,
8/28/06,Monday,Non-Holiday Weekday,
8/29/06,Tuesday,Non-Holiday Weekday,
8/30/06,Wednesday,Non-Holiday Weekday,
8/31/06,Thursday,Non-Holiday Weekday,
9/1/06,Friday,Non-Holiday Weekday,
9/2/06,Saturday,Non-Holiday Weekend,
9/3/06,Sunday,Non-Holiday Weekend,
9/4/06,Monday,National Holiday,Labor Day
9/5/06,Tuesday,Non-Holiday Weekday,
9/6/06,Wednesday,Non-Holiday Weekday,
9/7/06,Thursday,Non-Holiday Weekday,
9/8/06,Friday,Non-Holiday Weekday,
9/9/06,Saturday,Non-Holiday Weekend,
9/10/06,Sunday,Non-Holiday Weekend,
9/11/06,Monday,Non-Holiday Weekday,
9/12/06,Tuesday,Non-Holiday Weekday,
9/13/06,Wednesday,Non-Holiday Weekday,
9/14/06,Thursday,Non-Holiday Weekday,
9/15/06,Friday,Non-Holiday Weekday,
9/16/06,Saturday,Non-Holiday Weekend,
9/17/06,Sunday,Non-Holiday Weekend,
9/18/06,Monday,Non-Holiday Weekday,
9/19/06,Tuesday,Non-Holiday Weekday,
9/20/06,Wednesday,Non-Holiday Weekday,
9/21/06,Thursday,Non-Holiday Weekday,
9/22/06,Friday,Non-Holiday Weekday,
9/23/06,Saturday,Non-Holiday Weekend,
9/24/06,Sunday,Non-Holiday Weekend,
9/25/06,Monday,Non-Holiday Weekday,
9/26/06,Tuesday,Non-Holiday Weekday,
9/27/06,Wednesday,Non-Holiday Weekday,
9/28/06,Thursday,Non-Holiday Weekday,
9/29/06,Friday,Non-Holiday Weekday,
9/30/06,Saturday,Non-Holiday Weekend,
10/1/06,Sunday,Non-Holiday Weekend,
10/2/06,Monday,Non-Holiday Weekday,
10/3/06,Tuesday,Non-Holiday Weekday,
10/4/06,Wednesday,Non-Holiday Weekday,
10/5/06,Thursday,Non-Holiday Weekday,
10/6/06,Friday,Non-Holiday Weekday,
10/7/06,Saturday,Non-Holiday Weekend,
10/8/06,Sunday,Non-Holiday Weekend,
10/9/06,Monday,National Holiday,Columbus Day
10/10/06,Tuesday,Non-Holiday Weekday,
10/11/06,Wednesday,Non-Holiday Weekday,
10/12/06,Thursday,Non-Holiday Weekday,
10/13/06,Friday,Non-Holiday Weekday,
10/14/06,Saturday,Non-Holiday Weekend,
10/15/06,Sunday,Non-Holiday Weekend,
10/16/06,Monday,Non-Holiday Weekday,
10/17/06,Tuesday,Non-Holiday Weekday,
10/18/06,Wednesday,Non-Holiday Weekday,
10/19/06,Thursday,Non-Holiday Weekday,
10/20/06,Friday,Non-Holiday Weekday,
